"Combination_1","Combination_2","Combination_3","Combination_4","Combination_5","Combination_6","Combination_7","Combination_8","Combination_9","Combination_10"
100,90,96,104,110,50,62,72,70,68
144,92,110,104,142,62,76,56,64,72
82,90,96,104,116,46,70,112,64,68
100,128,96,104,110,52,52,56,64,114
108,90,96,146,110,80,52,56,64,68
86,94,102,132,128,70,52,86,64,72
94,104,104,104,110,68,54,90,64,68
106,106,130,132,144,46,70,56,64,68
88,90,96,144,120,66,52,76,64,68
82,94,96,120,110,102,86,58,68,96
82,90,132,158,114,58,52,62,64,68
96,96,96,104,110,76,52,76,64,68
98,118,96,112,110,60,60,84,64,68
84,96,128,104,128,58,52,82,98,88
120,154,100,104,110,68,56,84,64,68
86,102,116,104,128,60,52,60,64,68
82,104,96,104,110,76,52,62,64,68
96,92,96,106,120,46,70,60,64,68
104,90,96,104,114,50,52,62,64,68
112,90,96,122,110,46,52,56,64,68
84,90,96,104,120,64,52,56,76,68
82,126,110,104,116,78,92,56,78,68
112,90,114,104,110,82,58,76,64,68
110,114,96,104,124,56,58,56,80,68
152,112,96,104,118,66,56,76,64,72
100,90,118,122,110,98,52,58,64,68
82,138,102,120,110,78,58,56,80,68
82,106,96,148,110,76,52,56,74,68
110,90,100,110,110,64,64,62,72,68
126,90,96,104,110,50,52,88,72,68
132,112,96,104,110,46,52,72,68,68
82,96,132,104,128,46,52,56,64,68
102,110,96,104,110,76,66,60,64,68
82,90,116,116,148,66,52,56,64,68
114,90,106,104,124,46,76,64,64,68
82,112,96,114,110,46,70,94,64,68
82,104,112,104,110,56,52,84,64,68
104,118,106,104,110,58,68,56,72,68
100,126,100,104,110,50,64,56,64,68
82,138,106,118,110,76,60,86,64,80
128,120,122,104,110,66,52,56,64,68
108,90,128,104,110,68,78,56,64,68
92,98,96,118,110,80,52,74,74,70
82,116,132,104,114,70,58,72,64,68
82,100,96,104,110,54,52,60,64,68
120,90,96,104,110,62,70,56,64,68
124,110,112,104,110,78,56,80,64,68
128,90,96,104,110,72,86,82,64,68
112,98,100,104,110,64,56,56,64,78
82,112,96,108,110,60,52,58,72,68
88,90,96,108,110,56,86,72,64,68
98,90,108,104,110,76,54,64,64,88
92,90,104,104,110,72,68,56,64,68
118,90,116,112,110,46,88,56,64,68
88,94,98,104,110,54,52,56,64,68
112,112,96,104,142,54,86,70,78,68
82,90,96,104,110,46,52,56,68,68
82,90,96,104,110,94,54,76,74,68
82,94,104,108,110,78,84,56,66,68
