"M","Sigma Re-estimate","Sample Size Re-estimated","Alpha","Confidence Interval Low","Confidence Interval High"
10,6.45507508330409,104,0.049884,0.0495761182482056,0.0501918817517944
20,6.4547719047218,104,0.050558,0.0502481552368169,0.0508678447631831
30,6.45355416326364,104,0.049942,0.0496339487164903,0.0502500512835097
40,6.45454923042549,104,0.049464,0.0491573493430498,0.0497706506569502
50,6.45329435209043,104,0.049772,0.0494644459461623,0.0500795540538377
100,6.45418011875913,104,0.050264,0.0499550096108161,0.0505729903891839
120,6.45317829877928,104,0.050938,0.0506270552455628,0.0512489447544372
150,6.4547252245664,104,0.050306,0.0499968873785689,0.0506151126214311
