delta,Sigma.TRUE,Sigma.Assumed,Sigma.Re.estimate,Sample.Size.Initial,Sample.Size.Re.estimate,Alpha.Re.estimate,Confidence.Interval.Low,Confidence.Interval.High,NON.SSR.Alpha.Re.estimate,NON.SSR.Confidence.Interval.Low,NON.SSR.Confidence.Interval.High
0,6.5,6,6.481722469,170,"199 (198.957,199.043)",0.049944,0.049635943,0.050252057,0.05014,0.049831371,0.050448629
0,6.5,6.3,6.482790593,187,"199 (198.959,199.041)",0.050084,0.049775534,0.050392466,0.049988,0.049679814,0.050296186
0,6.5,6.5,6.483427518,200,"199 (198.96,199.04)",0.050762,0.050451564,0.051072436,0.05082,0.050509396,0.051130604
0,6.5,6.8,6.486252002,217,"199 (198.962,199.038)",0.050492,0.050182347,0.050801653,0.050234,0.049925097,0.050542903
0,6.5,7,6.485606238,230,"199 (198.963,199.037)",0.05027,0.049960992,0.050579008,0.050082,0.04977354,0.05039046
