delta,Sigma.TRUE,Sigma.Assumed,Sigma.Re.estimate,Sample.Size.Initial,Sample.Size.Re.estimate,Alpha.Re.estimate,Confidence.Interval.Low,Confidence.Interval.High,NON.SSR.Alpha.Re.estimate,NON.SSR.Confidence.Interval.Low,NON.SSR.Confidence.Interval.High
0,6.5,6,6.481095123,183,"215 (214.955,215.045)",0.050036,0.049727674,0.050344326,0.049852,0.049544212,0.050159788
0,6.5,6.3,6.483174923,201,"215 (214.957,215.043)",0.049846,0.049538229,0.050153771,0.049758,0.049450487,0.050065513
0,6.5,6.5,6.484618247,216,"215 (214.959,215.041)",0.050218,0.049909144,0.050526856,0.05014,0.049831371,0.050448629
0,6.5,6.8,6.485009647,234,"215 (214.96,215.04)",0.050184,0.049875243,0.050492757,0.050262,0.049953015,0.050570985
0,6.5,7,6.486828422,249,"215 (214.961,215.039)",0.049686,0.049378698,0.049993302,0.049742,0.049434534,0.050049466
