delta,Sigma.TRUE,Sigma.Assumed,Sigma.Re.estimate,Sample.Size.Initial,Sample.Size.Re.estimate,Alpha.Re.estimate,Confidence.Interval.Low,Confidence.Interval.High,NON.SSR.Alpha.Re.estimate,NON.SSR.Confidence.Interval.Low,NON.SSR.Confidence.Interval.High
0,6.5,6,6.481361679,183,"215 (214.955,215.045)",0.049664,0.049356762,0.049971238,0.049678,0.049370721,0.049985279
0,6.5,6.3,6.483586463,201,"215 (214.957,215.043)",0.049818,0.049510311,0.050125689,0.049738,0.049430546,0.050045454
0,6.5,6.5,6.484655878,215,"215 (214.958,215.042)",0.05004,0.049731663,0.050348337,0.050242,0.049933074,0.050550926
0,6.5,6.8,6.485816586,235,"215 (214.96,215.04)",0.050402,0.050092608,0.050711392,0.050284,0.049974951,0.050593049
0,6.5,7,6.486829206,249,"215 (214.961,215.039)",0.05019,0.049881225,0.050498775,0.050374,0.05006469,0.05068331
