delta,Sigma.TRUE,Sigma.Assumed,Sigma.Re.estimate,Sample.Size.Initial,Sample.Size.Re.estimate,Alpha.Re.estimate,Confidence.Interval.Low,Confidence.Interval.High,NON.SSR.Alpha.Re.estimate,NON.SSR.Confidence.Interval.Low,NON.SSR.Confidence.Interval.High
0,6.5,6,6.47987114,166,"195 (194.957,195.043)",0.049868,0.049560165,0.050175835,0.050202,0.04989319,0.05051081
0,6.5,6.3,6.481629099,184,"195 (194.959,195.041)",0.050642,0.050331912,0.050952088,0.050364,0.050054719,0.050673281
0,6.5,6.5,6.482603857,194,"195 (194.96,195.04)",0.049682,0.04937471,0.04998929,0.049844,0.049536235,0.050151765
0,6.5,6.8,6.485116427,214,"195 (194.962,195.038)",0.050282,0.049972957,0.050591043,0.050048,0.049739639,0.050356361
0,6.5,7,6.48542754,226,"195 (194.963,195.037)",0.049844,0.049536235,0.050151765,0.049598,0.049290956,0.049905044
